,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Arriendo Casa de Veraneo En La Serena,Alojamiento entero,La Serena,5,4,3, Habitación,2,privado,36.0,-29.92244,-71.20689,"https://maps.google.com/maps?ll=-29.92244,-71.20689&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en condominio, con porton electrico y con conserje, 3 habitaciones , habilitada hasta 5 personas, cocina equipada con microondas, refrigerador, juguera, vajilla; living comedor, califont, lavadora, television. Condominio con juegos infantiles y parrilla en pergola. Ubicada en la Villa la florida a 5 minutos del aeropuerto, 3 minutos de supermercado, farmacia y servicentro; al lado de la ruta que va al valle del elqui y/o centro de serena y avda del mar",['Cocina'],4.79,19,Alberto,01-2018,https://www.airbnb.cl/rooms/22571866?adults=1&children=0&infants=0&pets=0&check_in=2023-03-05&check_out=2023-03-10&previous_page_section_name=1000
1,"Casa Luz. EN LA PLAYA. Las Mostazas, Guanaqueros",Alojamiento entero,Coquimbo,8,7,3, Habitación,"3,5",privado,275.0,-30.18138,-71.39205,"https://maps.google.com/maps?ll=-30.18138,-71.39205&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","El condominio esta a 10 minutos en auto del pueblo de Guanaqueros, 20 de Tongoy donde hay almacenes, ferias 2 días a la semana donde comprar frutas verduras y varias cosas más, además de caletas para abastecerse de mariscos y pescado.","Una casa preciosa,  hecha con mucho amor, en la playa misma, patitas en la arena. A 50 pasos del mar. Un lugar tranquilo, maravilloso, de conexión con la naturaleza. Dan ganas de quedarse para siempre :)

Ecológica, bien aislada, full eléctrica, con paneles solares y reutilización de aguas para el jardín. 

Esta dentro del condominio Las Mostazas. En una playa increíble. A 10 mins en auto de Guanaqueros, 20 de Tongoy y 45 de la serena. Llegan las compras del Jumbo a la puerta de la casa.


La casa tiene 3 piezas ricas, cada una con su baño. Más un baño de servicio o de playa y parrilla. Tiene un espacio común grande con una barra y un comedor grande también. Una rica y amplia terraza con parrilla, fogón, estar reposeras y comedor exteriores. 

Hay en la parte de abajo del jardín una zona de fogata, también con parrilla y mesón para hacer un asado mas acampado. 

Dejamos siempre 2 stand up paddle y salvavidas de distintos tamaños para salir a remar por el mar. Una experiencia preciosa.

Hay también para el fin del día, y con la
idea de cuidar el agua, una ducha playera, justo antes de la subida a la casa, para bañarse rápido y sacarse la sal y arena antes de subir.","['Acceso a playa Público o compartido', 'Frente a la playa']",5.0,15,Camila,05-2014,https://www.airbnb.cl/rooms/53001224?adults=1&children=0&infants=0&pets=0&check_in=2023-03-08&check_out=2023-03-13&previous_page_section_name=1000
2,"Casa hermosa, cómoda y segura.",Alojamiento entero,La Serena,9,8,4, Habitación,3,privado,108.0,-29.914,-71.2378,"https://maps.google.com/maps?ll=-29.914,-71.2378&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"ARRIENDO COMODA Y HERMOSA CASA TEMPORADA VERANO
Amoblada para 7 a 9 personas
4 habitaciones 
3 baños
Cocina aquipada 
Lavandería 
Piscina 
2 Estacionamientos
Sector colina del pino, la serena .",['Cocina'],,,Nicolas,12-2018,https://www.airbnb.cl/rooms/805840934492910039?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
3,Casa en barrio residencial accesible y seguro,Alojamiento entero,Coquimbo,10,9,6, Habitación,4,privado,79.0,-29.9635,-71.3051,"https://maps.google.com/maps?ll=-29.9635,-71.3051&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Barrio residencial muy tranquilo en pasaje cerrado,"Casa ubicada en un sector residencial tranquilo, en pasaje interior, cuenta con habitaciones con baño privado, estacionamiento, áreas comunes comedor, living, terraza, quincho, asadura
Wifi, TV cable, 
Excelente accesibilidad,, cercano a comercios, a 800 metros playa.

Acceso de los huéspedes
Terraza, quincho, living, comedor",['Cocina'],4.50,34,Luis,11-2020,https://www.airbnb.cl/rooms/46686347?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-18&previous_page_section_name=1000
4,Casa en La Serena,Alojamiento entero,La Serena,7,5,3, Habitación,"2,5",privado,85.0,-29.9434,-71.268,"https://maps.google.com/maps?ll=-29.9434,-71.268&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de la sencillez de este alojamiento tranquilo y céntrico.

Casa en condominio para hasta 7 personas, guardias de seguridad 24/7, cercana a supermercados y avenidas principales como Balmaceda y 4 esquinas, a 10 minutos de las playas y casino de juegos.

3 dormitorios
2.5 baños
cocina amoblada y equipada
patio con cama elástica y casita de juegos",['Cocina'],,,Alexandra,08-2022,https://www.airbnb.cl/rooms/810426477033779335?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
5,Casa Vista Hermosa en Rosario de Peñuelas,Alojamiento entero,Coquimbo,8,6,4, Habitación,"3,5",privado,96.429,-29.96265,-71.30631,"https://maps.google.com/maps?ll=-29.96265,-71.30631&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Barrio exclusivo y tranquilo,"Linda casa en barrio exclusivo, piscina, quincho, 4 habitaciones 4 baños,  hermosa vista",['Vista a la bahía'],4.65,37,Luis,11-2020,https://www.airbnb.cl/rooms/47411331?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-11&previous_page_section_name=1000
6,"Casa en la Avenida del Mar, a pasos de la playa.",Alojamiento entero,Coquimbo,10,9,4, Habitación,3,privado,130.0,-29.94682,-71.29326,"https://maps.google.com/maps?ll=-29.94682,-71.29326&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa ubicada frente a la Avenida del Mar, dentro de un condominio que cuenta con amplios espacios verdes y está a solo pasos de la playa. Cuenta con 4 habitaciones, 8 camas individuales y 1 matrimonial. Tiene 3 baños con duchas, la cocina, living comedor y una terraza.",['Acceso a la playa'],4.91,11,Alfonso,01-2022,https://www.airbnb.cl/rooms/54246449?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000
7,Casa valle La serena/valle del elqui,Alojamiento entero,La Serena,6,4,3, Habitación,2,privado,95.0,-29.93906,-71.1474,"https://maps.google.com/maps?ll=-29.93906,-71.1474&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Casavalle, está a 15 minutos en auto de la costa, avenida del mar, a 40 de vicuña y 1 hora y 30 minutos de pisco elqui.
En la puerta del condominio pasa locomoción hacia ambos destinos.
Estamos cerca de papayas Yañez, pueblo Algarrobito, en donde hay pequeños negocios.
A 5 minutos en auto hay supermercados, farmacias, verdulerías y estaciones de servicio, así como también el aeropuerto La florida.","Casavalle, es una casa aislada para una sola familia, ubicada en La serena camino al valle del elqui, a 15 minutos en auto de la avenida del mar, 5 del aeropuerto y 40 de Vicuña.
Dentro de un condominio, con portón eléctrico, y en un lugar privilegiado, a la mano de la ciudad pero con la desconexión y el relajo Del Valle del elqui.

Un ambiente de descanso, conexión con la naturaleza, ideal para familias.
Disfruta  de las instalaciones de casavalle, piscina natural, Hot tub, parrilla y fogón.


A mano de la ciudad pero con la desconexión y relajo Del Valle del Elqui, tendrás relajo, descanso y diversión en un lugar diseñado y pensando solo para tu familia. 
Cada

Casa aislada, con decoración limpia y moderna, cocina completamente equipada,
Ropa de cama y toallas de baño incluidos.
Wifi, Tv satelital, áreas de descanso 
A orillas del Río Elqui",['Vista al patio'],4.89,38,Diana,12-2020,https://www.airbnb.cl/rooms/47421114?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
8,Descansa Frente al mar,Alojamiento entero,Coquimbo,5,4,3, Habitación,2,privado,80.5,-29.9574,-71.3084,"https://maps.google.com/maps?ll=-29.9574,-71.3084&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Excelente lugar para salir a pasear, andar en bicicleta, nadar o tomar sol.
A pasos de casino y restaurantes de Peñuelas y avenida del Mar.
Ademas es cercano al Pueblito de Peñuelas, un imperdible de la ciudad.
Excelente conectividad tanto a La Serena como a Coquimbo, así como a la ruta 5.","Relájate con toda la familia en este tranquilo lugar y disfruta de su inigualable vista.
A orillas del mar se ubica este hermoso departamento, a pasos de restoranes y casino, y a minutos de los centros urbanos de La Serena y Coquimbo.
Punto ideal para conocer el Valle del Elqui o conocer el Valle del Encanto o el Parque Fray Jorge.

El espacio
Espacioso y luminoso departamento frente al mar.",['Acceso a la playa'],4.67,6,Lilian,12-2017,https://www.airbnb.cl/rooms/788447440844761022?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
9,"Casa en parcela, quincho y piscina uso exclusivo",Alojamiento entero,La Serena,7,4,4, Habitación,2,privado,85.0,-29.90666,-71.14043,"https://maps.google.com/maps?ll=-29.90666,-71.14043&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Es una casa independiente en un condominio de parcelas de agrado en la loma del cerro San Luis del Fundo Loreto. Es un lugar tranquilo y con linda vista.,"Casa independiente ubicada en Parcela a 20 km de La Serena. Con una gran vista al valle donde encontrarán paz y tranquilidad.
Es un lugar semi aislado y  privado.

El espacio
Se accede a una casa habilitada desde hace menos de un año y medio, con derecho a usar quincho y piscina.",['Vista al valle'],4.96,28,Nevenka,01-2021,https://www.airbnb.cl/rooms/47575766?adults=1&children=0&infants=0&pets=0&check_in=2023-02-24&check_out=2023-03-01&previous_page_section_name=1000
10,Casa por día,Alojamiento entero,La Serena,8,4,4, Habitación,2,privado,60.0,-29.92672,-71.20361,"https://maps.google.com/maps?ll=-29.92672,-71.20361&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate con toda la familia en este tranquilo lugar para quedarse.
Arriendo por día, casa en Condominio completamente equipada hasta para 8 personas, 4 dormitorios, 2 Baños, amplia cocina, a 10 minutos del centro y playa en vehículo, a pasos del aeropuerto y supermercados. Condominio con conserjería las 24 horas, sector La Florida.
Valor $50.000, mínimo 2 noches.",['Cocina'],,,Geraldine,01-2023,https://www.airbnb.cl/rooms/810860669935137695?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-04&previous_page_section_name=1000
